model,rmse,mae,mape,fold,order,has_exog
"Auto-ARIMA(0, 0, 0) (Fold 1)",0.014673284199190097,0.01152725917440549,inf,1,"(0, 0, 0)",False
"Auto-ARIMA(0, 0, 0) (Fold 2)",0.013085844868988967,0.009937393433129191,100.0,2,"(0, 0, 0)",False
"Auto-ARIMA(2, 0, 2) (Fold 3)",0.007377570580311741,0.0056844556624919594,inf,3,"(2, 0, 2)",False
"Auto-ARIMA(0, 0, 0) (Fold 4)",0.007776735507315742,0.005731015643054618,100.0,4,"(0, 0, 0)",False
"Auto-ARIMA(0, 0, 0) (Fold 5)",0.013162542806391743,0.007979711087939805,100.0,5,"(0, 0, 0)",False
"SARIMAX(0, 0, 0)+VIX (Fold 1)",0.010161850090364008,0.007930641123765606,inf,1,"(0, 0, 0)",True
"SARIMAX(0, 0, 0)+VIX (Fold 2)",0.01018060584634114,0.007532630727171164,inf,2,"(0, 0, 0)",True
"SARIMAX(2, 0, 2)+VIX (Fold 3)",0.0050511238373913084,0.003889173597618445,inf,3,"(2, 0, 2)",True
"SARIMAX(0, 0, 0)+VIX (Fold 4)",0.0061965919525768295,0.00439356979786551,inf,4,"(0, 0, 0)",True
"SARIMAX(0, 0, 0)+VIX (Fold 5)",0.007604558351869765,0.004658190366779291,inf,5,"(0, 0, 0)",True
