,model,mse,rmse,mae,mape,split_ratio,has_leakage,arima_order
0,Random Walk with Leakage (Split 0.5),2725.665480734989,52.20790630484036,34.46977934966216,0.670444832781168,0.5,True,
1,Random Walk without Leakage (Split 0.5),1426553.6866222615,1194.3842290579114,1016.0703092008024,18.648351027763322,0.5,False,
2,Random Walk with Leakage (Split 0.6),3166.202502649376,56.26901903045206,37.00909497364458,0.6975229920945014,0.6,True,
3,Random Walk without Leakage (Split 0.6),912385.1618222605,955.1885477863837,827.2760095067771,14.841799092870641,0.6,False,
4,Random Walk with Leakage (Split 0.7),3841.07843698796,61.97643452948838,40.62634395096463,0.7356808342304423,0.7,True,
5,Random Walk without Leakage (Split 0.7),540586.5768138979,735.2459294779522,651.8911478220458,11.395252679105615,0.7,False,
6,Random Walk with Leakage (Split 0.8),5158.9320980597,71.82570638747454,47.53611637995793,0.843887795360752,0.8,True,
7,Random Walk without Leakage (Split 0.8),132590.96280194016,364.1304200447144,308.20457575871393,5.261030352226323,0.8,False,
8,"ARIMA(0, 1, 0) with Leakage (Split 0.8)",5158.9320980597,71.82570638747454,47.53611637995793,0.843887795360752,0.8,True,"(0, 1, 0)"
9,"ARIMA(0, 1, 0) without Leakage (Split 0.8)",132590.96280194016,364.1304200447144,308.20457575871393,5.261030352226323,0.8,False,"(0, 1, 0)"
10,"ARIMA(0, 1, 0)(0, 0, 1, 20) with Leakage (Split 0.8)",5123.046551779719,71.57546054186253,47.46797596477706,0.8424675476544647,0.8,True,"ARIMA(0, 1, 0)(0, 0, 1, 20)"
11,"ARIMA(0, 1, 0)(0, 0, 1, 20) without Leakage (Split 0.8)",126811.22890057301,356.105642893472,300.6228648761132,5.133290667123512,0.8,False,"ARIMA(0, 1, 0)(0, 0, 1, 20)"
